domain,id,original_length,encoded_bytes,decoded_match,unsupported_char_count,verdict
MAIN_GAME,0x607A,267,245,YES,0,PASS
MAIN_GAME,0x607B,55,55,YES,0,PASS
MAIN_GAME,0x607C,42,42,YES,0,PASS
MAIN_GAME,0x607D,383,350,YES,0,PASS
MAIN_GAME,0x607E,137,126,YES,0,PASS
MAIN_GAME,0x607F,105,83,YES,0,PASS
MAIN_GAME,0x6080,70,70,YES,0,PASS
MAIN_GAME,0x6081,193,182,YES,0,PASS
MAIN_GAME,0x6082,28,28,YES,0,PASS
MAIN_GAME,0x6083,110,110,YES,0,PASS
MAIN_GAME,0x6084,106,95,YES,0,PASS
MAIN_GAME,0x6085,273,229,YES,0,PASS
MAIN_GAME,0x6086,450,417,YES,0,PASS
MAIN_GAME,0x6087,4,4,YES,0,PASS
MAIN_GAME,0x6088,4,4,YES,0,PASS
MAIN_GAME,0x6089,4,4,YES,0,PASS
MAIN_GAME,0x608A,4,4,YES,0,PASS
MAIN_GAME,0x608B,4,4,YES,0,PASS
MAIN_GAME,0x608C,4,4,YES,0,PASS
MAIN_GAME,0x608D,4,4,YES,0,PASS
MAIN_GAME,0x608E,4,4,YES,0,PASS
MAIN_GAME,0x608F,4,4,YES,0,PASS
MAIN_GAME,0x7000,29,29,YES,0,PASS
MAIN_GAME,0x7001,69,69,YES,0,PASS
MAIN_GAME,0x7002,81,81,YES,0,PASS
MAIN_GAME,0x7003,86,86,YES,0,PASS
MAIN_GAME,0x7004,342,305,YES,0,PASS
MAIN_GAME,0x7005,45,34,YES,0,PASS
MAIN_GAME,0x7006,99,99,YES,0,PASS
MAIN_GAME,0x7007,592,526,YES,0,PASS
MAIN_GAME,0x7008,22,22,YES,0,PASS
MAIN_GAME,0x7009,322,289,YES,0,PASS
MAIN_GAME,0x700A,169,169,YES,0,PASS
MAIN_GAME,0x700B,46,46,YES,0,PASS
MAIN_GAME,0x700C,95,91,YES,0,PASS
MAIN_GAME,0x700D,120,120,YES,0,PASS
MAIN_GAME,0x700E,140,129,YES,0,PASS
MAIN_GAME,0x700F,89,89,YES,0,PASS
MAIN_GAME,0x7010,98,98,YES,0,PASS
MAIN_GAME,0x7011,68,68,YES,0,PASS
MAIN_GAME,0x7012,128,128,YES,0,PASS
MAIN_GAME,0x7013,175,164,YES,0,PASS
MAIN_GAME,0x7014,67,67,YES,0,PASS
MAIN_GAME,0x7015,123,123,YES,0,PASS
MAIN_GAME,0x7016,146,135,YES,0,PASS
MAIN_GAME,0x7017,147,147,YES,0,PASS
MAIN_GAME,0x7018,154,121,YES,0,PASS
MAIN_GAME,0x7019,109,109,YES,0,PASS
MAIN_GAME,0x701A,93,82,YES,0,PASS
MAIN_GAME,0x701B,191,147,YES,0,PASS
MAIN_GAME,0x701C,70,70,YES,0,PASS
MAIN_GAME,0x701D,75,75,YES,0,PASS
MAIN_GAME,0x701E,102,91,YES,0,PASS
MAIN_GAME,0x701F,156,145,YES,0,PASS
MAIN_GAME,0x7020,86,86,YES,0,PASS
MAIN_GAME,0x7021,83,72,YES,0,PASS
MAIN_GAME,0x7022,93,93,YES,0,PASS
MAIN_GAME,0x7023,93,93,YES,0,PASS
MAIN_GAME,0x7024,171,160,YES,0,PASS
MAIN_GAME,0x7025,105,72,YES,0,PASS
MAIN_GAME,0x7026,113,69,YES,0,PASS
MAIN_GAME,0x7027,323,279,YES,0,PASS
MAIN_GAME,0x7028,60,60,YES,0,PASS
MAIN_GAME,0x7029,263,241,YES,0,PASS
MAIN_GAME,0x702A,141,108,YES,0,PASS
MAIN_GAME,0x702B,70,59,YES,0,PASS
MAIN_GAME,0x702C,354,299,YES,0,PASS
MAIN_GAME,0x702D,32,32,YES,0,PASS
MAIN_GAME,0x702E,9,9,YES,0,PASS
MAIN_GAME,0x702F,57,46,YES,0,PASS
MAIN_GAME,0x7030,28,28,YES,0,PASS
MAIN_GAME,0x7031,117,106,YES,0,PASS
MAIN_GAME,0x7032,18,18,YES,0,PASS
MAIN_GAME,0x7033,68,68,YES,0,PASS
MAIN_GAME,0x7034,27,27,YES,0,PASS
MAIN_GAME,0x7035,20,20,YES,0,PASS
MAIN_GAME,0x7036,499,499,YES,0,PASS
MAIN_GAME,0x7037,404,371,YES,0,PASS
MAIN_GAME,0x7038,53,53,YES,0,PASS
MAIN_GAME,0x7039,112,90,YES,0,PASS
MAIN_GAME,0x703A,45,45,YES,0,PASS
MAIN_GAME,0x703B,9,9,YES,0,PASS
MAIN_GAME,0x703C,78,78,YES,0,PASS
MAIN_GAME,0x703D,221,199,YES,0,PASS
MAIN_GAME,0x703E,79,79,YES,0,PASS
MAIN_GAME,0x703F,34,34,YES,0,PASS
MAIN_GAME,0x7040,198,176,YES,0,PASS
MAIN_GAME,0x7041,37,37,YES,0,PASS
MAIN_GAME,0x7042,47,47,YES,0,PASS
MAIN_GAME,0x7043,22,22,YES,0,PASS
MAIN_GAME,0x7044,74,74,YES,0,PASS
MAIN_GAME,0x7045,55,55,YES,0,PASS
MAIN_GAME,0x7046,33,33,YES,0,PASS
MAIN_GAME,0x7047,110,110,YES,0,PASS
MAIN_GAME,0x7048,11,11,YES,0,PASS
MAIN_GAME,0x7049,63,63,YES,0,PASS
MAIN_GAME,0x704A,95,95,YES,0,PASS
MAIN_GAME,0x704B,58,58,YES,0,PASS
MAIN_GAME,0x704C,59,59,YES,0,PASS
MAIN_GAME,0x704D,93,93,YES,0,PASS
MAIN_GAME,0x704E,61,36,YES,0,PASS
MAIN_GAME,0x704F,581,519,YES,0,PASS
MAIN_GAME,0x7050,47,40,YES,0,PASS
MAIN_GAME,0x7051,524,469,YES,0,PASS
MAIN_GAME,0x7052,73,73,YES,0,PASS
MAIN_GAME,0x7053,1142,988,YES,0,PASS
MAIN_GAME,0x7054,221,192,YES,0,PASS
MAIN_GAME,0x7055,83,72,YES,0,PASS
MAIN_GAME,0x7056,43,43,YES,0,PASS
MAIN_GAME,0x7057,569,492,YES,0,PASS
MAIN_GAME,0x7058,56,56,YES,0,PASS
MAIN_GAME,0x7059,64,64,YES,0,PASS
MAIN_GAME,0x705A,33,26,YES,0,PASS
MAIN_GAME,0x705B,203,174,YES,0,PASS
MAIN_GAME,0x705C,1008,1008,YES,0,PASS
MAIN_GAME,0x705D,213,202,YES,0,PASS
MAIN_GAME,0x705E,57,50,YES,0,PASS
MAIN_GAME,0x705F,133,122,YES,0,PASS
MAIN_GAME,0x7060,37,37,YES,0,PASS
MAIN_GAME,0x7061,107,107,YES,0,PASS
MAIN_GAME,0x7062,60,60,YES,0,PASS
MAIN_GAME,0x7063,156,145,YES,0,PASS
MAIN_GAME,0x7064,33,33,YES,0,PASS
MAIN_GAME,0x7065,117,106,YES,0,PASS
MAIN_GAME,0x7066,48,48,YES,0,PASS
MAIN_GAME,0x7067,351,311,YES,0,PASS
MAIN_GAME,0x7068,4,4,YES,0,PASS
MAIN_GAME,0x7069,4,4,YES,0,PASS
MAIN_GAME,0x706A,4,4,YES,0,PASS
MAIN_GAME,0x706B,4,4,YES,0,PASS
MAIN_GAME,0x706C,137,137,YES,0,PASS
MAIN_GAME,0x706D,69,62,YES,0,PASS
MAIN_GAME,0x706E,112,112,YES,0,PASS
MAIN_GAME,0x706F,173,144,YES,0,PASS
MAIN_GAME,0x7070,31,24,YES,0,PASS
MAIN_GAME,0x7071,101,101,YES,0,PASS
MAIN_GAME,0x7072,34,34,YES,0,PASS
MAIN_GAME,0x7073,54,54,YES,0,PASS
MAIN_GAME,0x7074,347,292,YES,0,PASS
MAIN_GAME,0x7075,162,133,YES,0,PASS
MAIN_GAME,0x7076,107,107,YES,0,PASS
MAIN_GAME,0x7077,42,42,YES,0,PASS
MAIN_GAME,0x7078,109,109,YES,0,PASS
MAIN_GAME,0x7079,109,109,YES,0,PASS
MAIN_GAME,0x707A,466,415,YES,0,PASS
MAIN_GAME,0x707B,93,93,YES,0,PASS
MAIN_GAME,0x707C,185,174,YES,0,PASS
MAIN_GAME,0x707D,100,100,YES,0,PASS
MAIN_GAME,0x707E,139,139,YES,0,PASS
MAIN_GAME,0x707F,146,146,YES,0,PASS
MAIN_GAME,0x7080,64,64,YES,0,PASS
MAIN_GAME,0x7081,95,95,YES,0,PASS
MAIN_GAME,0x7082,392,370,YES,0,PASS
MAIN_GAME,0x7083,92,92,YES,0,PASS
MAIN_GAME,0x7084,514,452,YES,0,PASS
MAIN_GAME,0x7085,92,92,YES,0,PASS
MAIN_GAME,0x7086,67,67,YES,0,PASS
MAIN_GAME,0x7087,273,251,YES,0,PASS
MAIN_GAME,0x7088,98,98,YES,0,PASS
MAIN_GAME,0x7089,86,86,YES,0,PASS
MAIN_GAME,0x708A,123,112,YES,0,PASS
MAIN_GAME,0x708B,167,156,YES,0,PASS
MAIN_GAME,0x708C,202,191,YES,0,PASS
MAIN_GAME,0x708D,123,123,YES,0,PASS
MAIN_GAME,0x708E,89,89,YES,0,PASS
MAIN_GAME,0x708F,30,30,YES,0,PASS
MAIN_GAME,0x7090,453,398,YES,0,PASS
MAIN_GAME,0x7091,352,308,YES,0,PASS
MAIN_GAME,0x7092,74,74,YES,0,PASS
MAIN_GAME,0x7093,101,83,YES,0,PASS
MAIN_GAME,0x7094,84,73,YES,0,PASS
MAIN_GAME,0x7095,162,144,YES,0,PASS
MAIN_GAME,0x7096,8,8,YES,0,PASS
MAIN_GAME,0x7097,42,42,YES,0,PASS
MAIN_GAME,0x7098,36,36,YES,0,PASS
MAIN_GAME,0x7099,29,29,YES,0,PASS
MAIN_GAME,0x709A,314,281,YES,0,PASS
MAIN_GAME,0x709B,100,100,YES,0,PASS
MAIN_GAME,0x709C,88,88,YES,0,PASS
MAIN_GAME,0x709D,86,86,YES,0,PASS
MAIN_GAME,0x709E,95,95,YES,0,PASS
MAIN_GAME,0x709F,102,91,YES,0,PASS
MAIN_GAME,0x70A0,133,133,YES,0,PASS
MAIN_GAME,0x70A1,431,387,YES,0,PASS
MAIN_GAME,0x70A2,119,113,YES,0,PASS
MAIN_GAME,0x70A3,392,342,YES,0,PASS
MAIN_GAME,0x70A4,89,89,YES,0,PASS
MAIN_GAME,0x70A5,89,89,YES,0,PASS
MAIN_GAME,0x70A6,93,93,YES,0,PASS
MAIN_GAME,0x70A7,15,15,YES,0,PASS
MAIN_GAME,0x70A8,119,97,YES,0,PASS
MAIN_GAME,0x70A9,117,95,YES,0,PASS
MAIN_GAME,0x70AA,410,355,YES,0,PASS
MAIN_GAME,0x70AB,81,81,YES,0,PASS
MAIN_GAME,0x70AC,42,42,YES,0,PASS
MAIN_GAME,0x70AD,132,126,YES,0,PASS
MAIN_GAME,0x70AE,292,248,YES,0,PASS
MAIN_GAME,0x70AF,81,81,YES,0,PASS
MAIN_GAME,0x70B0,72,72,YES,0,PASS
MAIN_GAME,0x70B1,67,67,YES,0,PASS
MAIN_GAME,0x70B2,98,98,YES,0,PASS
MAIN_GAME,0x70B3,73,73,YES,0,PASS
MAIN_GAME,0x70B4,75,75,YES,0,PASS
MAIN_GAME,0x70B5,70,70,YES,0,PASS
MAIN_GAME,0x70B6,101,101,YES,0,PASS
MAIN_GAME,0x70B7,76,76,YES,0,PASS
MAIN_GAME,0x70B8,85,85,YES,0,PASS
MAIN_GAME,0x70B9,92,92,YES,0,PASS
MAIN_GAME,0x70BA,97,97,YES,0,PASS
MAIN_GAME,0x70BB,109,109,YES,0,PASS
MAIN_GAME,0x70BC,61,61,YES,0,PASS
MAIN_GAME,0x70BD,61,61,YES,0,PASS
MAIN_GAME,0x70BE,61,61,YES,0,PASS
MAIN_GAME,0x70BF,61,61,YES,0,PASS
MAIN_GAME,0x70C0,60,60,YES,0,PASS
MAIN_GAME,0x70C1,59,59,YES,0,PASS
MAIN_GAME,0x70C2,61,61,YES,0,PASS
MAIN_GAME,0x70C3,64,64,YES,0,PASS
MAIN_GAME,0x70C4,89,89,YES,0,PASS
MAIN_GAME,0x70C5,89,89,YES,0,PASS
MAIN_GAME,0x70C6,89,89,YES,0,PASS
MAIN_GAME,0x70C7,137,126,YES,0,PASS
MAIN_GAME,0x70C8,83,83,YES,0,PASS
MAIN_GAME,0x70C9,152,141,YES,0,PASS
MAIN_GAME,0x70CA,74,74,YES,0,PASS
MAIN_GAME,0x70CB,38,38,YES,0,PASS
MAIN_GAME,0x70CC,32,32,YES,0,PASS
MAIN_GAME,0x70CD,119,94,YES,0,PASS
MAIN_GAME,0x70CE,61,61,YES,0,PASS
MAIN_GAME,0x70CF,14,7,YES,0,PASS
MAIN_GAME,0x70D0,124,113,YES,0,PASS
MAIN_GAME,0x70D1,189,171,YES,0,PASS
MAIN_GAME,0x70D2,20,20,YES,0,PASS
MAIN_GAME,0x70D3,32,32,YES,0,PASS
MAIN_GAME,0x70D4,67,60,YES,0,PASS
MAIN_GAME,0x70D5,19,19,YES,0,PASS
MAIN_GAME,0x70D6,77,77,YES,0,PASS
MAIN_GAME,0x70D7,51,44,YES,0,PASS
MAIN_GAME,0x70D8,91,91,YES,0,PASS
MAIN_GAME,0x70D9,24,24,YES,0,PASS
MAIN_GAME,0x70DA,5,5,YES,0,PASS
MAIN_GAME,0x70DB,42,42,YES,0,PASS
MAIN_GAME,0x70DC,22,15,YES,0,PASS
MAIN_GAME,0x70DD,85,85,YES,0,PASS
MAIN_GAME,0x70DE,51,51,YES,0,PASS
MAIN_GAME,0x70DF,17,17,YES,0,PASS
MAIN_GAME,0x70E0,62,55,YES,0,PASS
MAIN_GAME,0x70E1,60,60,YES,0,PASS
MAIN_GAME,0x70E2,50,50,YES,0,PASS
MAIN_GAME,0x70E3,76,76,YES,0,PASS
MAIN_GAME,0x70E4,61,61,YES,0,PASS
MAIN_GAME,0x70E5,54,54,YES,0,PASS
MAIN_GAME,0x70E6,25,18,YES,0,PASS
MAIN_GAME,0x70E7,25,25,YES,0,PASS
MAIN_GAME,0x70E8,21,21,YES,0,PASS
MAIN_GAME,0x70E9,45,45,YES,0,PASS
MAIN_GAME,0x70EA,61,61,YES,0,PASS
MAIN_GAME,0x70EB,25,25,YES,0,PASS
MAIN_GAME,0x70EC,55,55,YES,0,PASS
MAIN_GAME,0x70ED,69,65,YES,0,PASS
MAIN_GAME,0x70EE,91,91,YES,0,PASS
MAIN_GAME,0x70EF,64,64,YES,0,PASS
MAIN_GAME,0x70F0,85,85,YES,0,PASS
MAIN_GAME,0x70F1,74,74,YES,0,PASS
MAIN_GAME,0x70F2,86,86,YES,0,PASS
MAIN_GAME,0x70F3,84,84,YES,0,PASS
MAIN_GAME,0x70F4,755,660,YES,0,PASS
MAIN_GAME,0x70F5,132,121,YES,0,PASS
MAIN_GAME,0x70F6,159,115,YES,0,PASS
MAIN_GAME,0x70F7,261,206,YES,0,PASS
MAIN_GAME,0x70F8,470,404,YES,0,PASS
MAIN_GAME,0x70F9,41,30,YES,0,PASS
MAIN_GAME,0x70FA,63,52,YES,0,PASS
MAIN_GAME,0x70FB,108,108,YES,0,PASS
MAIN_GAME,0x70FC,300,278,YES,0,PASS
MAIN_GAME,0x70FD,116,105,YES,0,PASS
MAIN_GAME,0x70FE,103,92,YES,0,PASS
MAIN_GAME,0x70FF,30,30,YES,0,PASS
MAIN_GAME,0x7100,29,29,YES,0,PASS
MAIN_GAME,0x7101,57,57,YES,0,PASS
MAIN_GAME,0x7102,18,18,YES,0,PASS
MAIN_GAME,0x7103,17,17,YES,0,PASS
MAIN_GAME,0x7104,19,19,YES,0,PASS
MAIN_GAME,0x7105,15,15,YES,0,PASS
MAIN_GAME,0x7106,18,18,YES,0,PASS
MAIN_GAME,0x7107,25,25,YES,0,PASS
MAIN_GAME,0x7108,71,71,YES,0,PASS
MAIN_GAME,0x7109,45,45,YES,0,PASS
MAIN_GAME,0x710A,65,65,YES,0,PASS
MAIN_GAME,0x710B,41,41,YES,0,PASS
MAIN_GAME,0x710C,65,65,YES,0,PASS
MAIN_GAME,0x710D,30,30,YES,0,PASS
